Holidays and Observances in United States in 2018,,,,
23-Apr,Monday,State Holiday,State holiday,Georgia
,,,,
25-Apr,Wednesday,Administrative Professionals Day,Observance,
,,,,
,,,,
26-Apr,Thursday,Confederate Heroes' Day,Local observance,Florida
26-Apr,Thursday,Take our Daughters and Sons to Work Day,Observance,
27-Apr,Friday,Arbor Day,State holiday,Nebraska
,,,,
,,,,
,,,,
30-Apr,Monday,Confederate Memorial Day,State holiday,Mississippi
,,,,
1-May,Tuesday,Law Day,Observance,
1-May,Tuesday,Loyalty Day,Observance,
1-May,Tuesday,Lei Day,Local observance,Hawaii
,,,,
3-May,Thursday,Lag BaOmer,Jewish holiday,
,,,,
3-May,Thursday,National Day of Prayer,Observance,
4-May,Friday,Kent State Shootings Remembrance,Local observance,Ohio
4-May,Friday,Kentucky Oaks,Sporting event,
4-May,Friday,Rhode Island Independence Day,Local observance,Rhode Island
5-May,Saturday,Cinco de Mayo,Observance,
5-May,Saturday,Kentucky Derby,Sporting event,
5-May,Saturday,National Explosive Ordnance Disposal (EOD) Day,Observance,
6-May,Sunday,National Nurses Day,Observance,
,,,,
,,,,
8-May,Tuesday,Truman Day,State holiday,Missouri
8-May,Tuesday,Primary Election Day,State holiday,West Virginia
10-May,Thursday,Ascension Day,Christian,
10-May,Thursday,Confederate Memorial Day,State holiday,South Carolina
10-May,Thursday,Confederate Memorial Day,Local observance,North Carolina
11-May,Friday,Military Spouse Appreciation Day,Observance,
,,,,
,,,,
13-May,Sunday,Mother's Day,Observance,
,,,,
15-May,Tuesday,Peace Officers Memorial Day,Observance,
16-May,Wednesday,Ramadan Starts,Muslim,
,,,,
18-May,Friday,National Defense Transportation Day,Observance,
19-May,Saturday,Armed Forces Day,Observance,
19-May,Saturday,Preakness Stakes,Sporting event,
20-May,Sunday,Pentecost,Christian,
20-May,Sunday,Shavuot,Jewish holiday,
,,,,
21-May,Monday,Whit Monday,Christian,
,,,,
,,,,
22-May,Tuesday,National Maritime Day,Observance,
22-May,Tuesday,Harvey Milk Day,Local observance,California
,,,,
23-May,Wednesday,Emergency Medical Services for Children Day,Observance,
,,,,
25-May,Friday,National Missing Children's Day,Observance,
27-May,Sunday,Trinity Sunday,Christian,
28-May,Monday,Memorial Day,Federal Holiday,
28-May,Monday,Jefferson Davis' Birthday,Local observance,Mississippi
,,,,
,,,,
31-May,Thursday,Corpus Christi,Christian,
,,,,
,,,,
,,,,
1-Jun,Friday,Statehood Day,Local observance,"Kentucky, Tennessee"
3-Jun,Sunday,Jefferson Davis' Birthday,Local observance,Florida
,,,,
4-Jun,Monday,Jefferson Davis' Birthday,State holiday,Alabama
,,,,
6-Jun,Wednesday,D-Day,Observance,
,,,,
9-Jun,Saturday,Belmont Stakes,Sporting event,
10-Jun,Sunday,Lailat al-Qadr,Muslim,
11-Jun,Monday,Kamehameha Day,State holiday,Hawaii
,,,,
,,,,
,,,,
14-Jun,Thursday,Army Birthday,Observance,
14-Jun,Thursday,Flag Day,Observance,
15-Jun,Friday,Eid al-Fitr,Muslim,
,,,,
,,,,
,,,,
17-Jun,Sunday,Father's Day,Observance,
17-Jun,Sunday,Bunker Hill Day,Local observance,Massachusetts
,,,,
19-Jun,Tuesday,Juneteenth,Local observance,"All except HI, MT, ND, NH, SD, TX"
19-Jun,Tuesday,Emancipation Day,State holiday,Texas
,,,,
20-Jun,Wednesday,West Virginia Day,State holiday,West Virginia
20-Jun,Wednesday,American Eagle Day,Observance,
21-Jun,Thursday,June Solstice,Season,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4-Jul,Wednesday,Independence Day,Federal Holiday,
,,,,
,,,,
,,,,
13-Jul,Friday,Nathan Bedford Forrest Day,Local observance,Tennessee
14-Jul,Saturday,Bastille Day,Observance,
,,,,
,,,,
22-Jul,Sunday,Tisha B'Av,Jewish holiday,
22-Jul,Sunday,Parents' Day,Observance,
24-Jul,Tuesday,Pioneer Day,State holiday,Utah
27-Jul,Friday,National Korean War Veterans Armistice Day,Observance,
,,,,
,,,,
,,,,
,,,,
1-Aug,Wednesday,Colorado Day,Local observance,Colorado
4-Aug,Saturday,Coast Guard Birthday,Observance,
