Holidays and Observances in United States in 2017,,,,
Date,,Name,Type,Details
,,,,
,,,,
1-Jan,Sunday,Last Day of Chanukah,Jewish holiday,
1-Jan,Sunday,New Year's Day,Federal Holiday,
2-Jan,Monday,New Year's Day observed,Federal Holiday,
,,,,
6-Jan,Friday,Epiphany,Christian,
7-Jan,Saturday,Orthodox Christmas Day,Orthodox,
,,,,
,,,,
13-Jan,Friday,Lee-Jackson Day,State holiday,Virginia
13-Jan,Friday,Stephen Foster Memorial Day,Observance,
14-Jan,Saturday,Orthodox New Year,Orthodox,
,,,,
16-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday,
16-Jan,Monday,Robert E. Lee's Birthday,State holiday,"AL, AR, MS"
16-Jan,Monday,Idaho Human Rights Day,State holiday,Idaho
16-Jan,Monday,Civil Rights Day,State holiday,"Arizona, New Hampshire"
19-Jan,Thursday,Robert E. Lee's Birthday,State holiday,Florida
19-Jan,Thursday,Confederate Heroes' Day,State holiday,Texas
20-Jan,Friday,Inauguration Day,State holiday,"DC, LA, MD, VA"
,,,,
,,,,
28-Jan,Saturday,Chinese New Year,Observance,
,,,,
29-Jan,Sunday,Kansas Day,Observance,
,,,,
1-Feb,Wednesday,National Freedom Day,Observance,
,,,,
2-Feb,Thursday,Groundhog Day,Observance,
3-Feb,Friday,National Wear Red Day,Observance,
,,,,
4-Feb,Saturday,Rosa Parks Day,Local observance,"California, Missouri"
5-Feb,Sunday,Super Bowl,Sporting event,
,,,,
11-Feb,Saturday,Tu Bishvat/Tu B'Shevat,Jewish holiday,
,,,,
,,,,
12-Feb,Sunday,Lincoln's Birthday,State holiday,"CT, IL, MO, NY"
12-Feb,Sunday,Lincoln's Birthday,Local observance,Florida
,,,,
13-Feb,Monday,Lincoln's Birthday observed,State holiday,"CT, IL, MO, NY"
14-Feb,Tuesday,Valentine's Day,Observance,
14-Feb,Tuesday,Statehood Day,Local observance,Arizona
15-Feb,Wednesday,Susan B. Anthony's Birthday,Local observance,"CA, FL, NY, WI"
16-Feb,Thursday,Elizabeth Peratrovich Day,Local observance,Alaska
,,,,
20-Feb,Monday,Presidents' Day,Federal Holiday,"All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI"
20-Feb,Monday,Daisy Gatson Bates Day,State holiday,Arkansas
,,,,
24-Feb,Friday,Maha Shivaratri,Hindu Holiday,
28-Feb,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,Florida*
28-Feb,Tuesday,Shrove Tuesday/Mardi Gras,"Observance, Christian",
28-Feb,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,"Alabama**, Louisiana"
28-Feb,Tuesday,Linus Pauling Day,Local observance,Oregon
,,,,
1-Mar,Wednesday,Ash Wednesday,Christian,
,,,,
,,,,
1-Mar,Wednesday,St. David's Day,"Observance, Christian",
2-Mar,Thursday,Texas Independence Day,State holiday,Texas
2-Mar,Thursday,Read Across America Day,Observance,
,,,,
3-Mar,Friday,Employee Appreciation Day,Observance,
6-Mar,Monday,Casimir Pulaski Day,Local observance,Illinois*
7-Mar,Tuesday,Town Meeting Day,State holiday,Vermont
,,,,
,,,,
12-Mar,Sunday,Holi,Hindu Holiday,
12-Mar,Sunday,Purim,Jewish holiday,
12-Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time,
17-Mar,Friday,St. Patrick's Day,"Observance, Christian",
17-Mar,Friday,Evacuation Day,State holiday,Massachusetts**
20-Mar,Monday,March Equinox,Season,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
25-Mar,Saturday,Maryland Day,Local observance,Maryland
26-Mar,Sunday,Prince Jonah Kuhio Kalanianaole Day,State holiday,Hawaii
27-Mar,Monday,Prince Jonah Kuhio Kalanianaole Day observed,State holiday,Hawaii
27-Mar,Monday,Seward's Day,State holiday,Alaska
29-Mar,Wednesday,National Vietnam War Veterans Day,Observance,
31-Mar,Friday,César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**"
,,,,
,,,,
,,,,
2-Apr,Sunday,Pascua Florida Day,Local observance,Florida
3-Apr,Monday,Pascua Florida Day observed,Local observance,Florida
,,,,
,,,,
6-Apr,Thursday,National Tartan Day,Observance,
,,,,
,,,,
9-Apr,Sunday,Palm Sunday,Christian,
11-Apr,Tuesday,Passover (first day),Jewish holiday,
11-Apr,Tuesday,National Library Workers' Day,Observance,
,,,,
13-Apr,Thursday,Maundy Thursday,Christian,
13-Apr,Thursday,Thomas Jefferson's Birthday,Observance,
14-Apr,Friday,Orthodox Good Friday,Orthodox,
14-Apr,Friday,Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***"
15-Apr,Saturday,Holy Saturday,Christian,
15-Apr,Saturday,Orthodox Holy Saturday,Orthodox,
15-Apr,Saturday,Father Damien Day,Local observance,Hawaii
16-Apr,Sunday,Orthodox Easter,Orthodox,
16-Apr,Sunday,Easter Sunday,"Observance, Christian",
16-Apr,Sunday,Emancipation Day,State holiday,District of Columbia
17-Apr,Monday,Orthodox Easter Monday,Orthodox,
17-Apr,Monday,Easter Monday,"Observance, Christian",
17-Apr,Monday,Emancipation Day observed,State holiday,District of Columbia
17-Apr,Monday,Patriot's Day,State holiday,"Maine, Massachusetts"
17-Apr,Monday,Boston Marathon,Sporting event,
18-Apr,Tuesday,Last Day of Passover,Jewish holiday,
,,,,
18-Apr,Tuesday,Tax Day,Observance,
,,,,
,,,,
21-Apr,Friday,San Jacinto Day,State holiday,Texas
,,,,
22-Apr,Saturday,Oklahoma Day,Local observance,Oklahoma
,,,,
,,,,
24-Apr,Monday,Yom HaShoah,Jewish commemoration,
24-Apr,Monday,Isra and Mi'raj,Muslim,
24-Apr,Monday,Confederate Memorial Day,State holiday,Alabama
24-Apr,Monday,Confederate Memorial Day,State holiday,Mississippi
24-Apr,Monday,State Holiday,State holiday,Georgia
,,,,
,,,,
,,,,
26-Apr,Wednesday,Confederate Heroes' Day,Local observance,Florida
26-Apr,Wednesday,Administrative Professionals Day,Observance,
27-Apr,Thursday,Take our Daughters and Sons to Work Day,Observance,
,,,,
28-Apr,Friday,Arbor Day,State holiday,Nebraska
,,,,
,,,,
,,,,
1-May,Monday,Law Day,Observance,
1-May,Monday,Loyalty Day,Observance,
1-May,Monday,Lei Day,Local observance,Hawaii
2-May,Tuesday,Yom Ha'atzmaut,Jewish holiday,
,,,,
,,,,
4-May,Thursday,Kent State Shootings Remembrance,Local observance,Ohio
4-May,Thursday,National Day of Prayer,Observance,
4-May,Thursday,Rhode Island Independence Day,Local observance,Rhode Island
5-May,Friday,Cinco de Mayo,Observance,
5-May,Friday,Kentucky Oaks,Sporting event,
6-May,Saturday,Kentucky Derby,Sporting event,
6-May,Saturday,National Nurses Day,Observance,
6-May,Saturday,National Explosive Ordnance Disposal (EOD) Day,Observance,
,,,,
,,,,
8-May,Monday,Truman Day,State holiday,Missouri
,,,,
10-May,Wednesday,Confederate Memorial Day,State holiday,South Carolina
10-May,Wednesday,Confederate Memorial Day,Local observance,North Carolina
,,,,
12-May,Friday,Military Spouse Appreciation Day,Observance,
,,,,
14-May,Sunday,Lag BaOmer,Jewish holiday,
14-May,Sunday,Mother's Day,Observance,
,,,,
15-May,Monday,Peace Officers Memorial Day,Observance,
,,,,
19-May,Friday,National Defense Transportation Day,Observance,
,,,,
20-May,Saturday,Armed Forces Day,Observance,
20-May,Saturday,Preakness Stakes,Sporting event,
,,,,
,,,,
22-May,Monday,National Maritime Day,Observance,
22-May,Monday,Harvey Milk Day,Local observance,California
,,,,
24-May,Wednesday,Emergency Medical Services for Children Day,Observance,
25-May,Thursday,Ascension Day,Christian,
,,,,
25-May,Thursday,National Missing Children's Day,Observance,
27-May,Saturday,Ramadan Starts,Muslim,
,,,,
29-May,Monday,Memorial Day,Federal Holiday,
29-May,Monday,Jefferson Davis' Birthday,Local observance,Mississippi
31-May,Wednesday,Shavuot,Jewish holiday,
,,,,
,,,,
,,,,
1-Jun,Thursday,Statehood Day,Local observance,"Kentucky, Tennessee"
3-Jun,Saturday,Jefferson Davis' Birthday,Local observance,Florida
4-Jun,Sunday,Pentecost,Christian,
,,,,
5-Jun,Monday,Whit Monday,Christian,
,,,,
5-Jun,Monday,Jefferson Davis' Birthday,State holiday,Alabama
6-Jun,Tuesday,D-Day,Observance,
,,,,
10-Jun,Saturday,Belmont Stakes,Sporting event,
11-Jun,Sunday,Trinity Sunday,Christian,
11-Jun,Sunday,Kamehameha Day,State holiday,Hawaii
11-Jun,Sunday,Bunker Hill Day,Local observance,Massachusetts
,,,,
12-Jun,Monday,Kamehameha Day observed,State holiday,Hawaii
,,,,
,,,,
14-Jun,Wednesday,Army Birthday,Observance,
14-Jun,Wednesday,Flag Day,Observance,
15-Jun,Thursday,Corpus Christi,Christian,
,,,,
,,,,
,,,,
18-Jun,Sunday,Father's Day,Observance,
,,,,
19-Jun,Monday,Juneteenth,Local observance,"All except HI, MT, ND, NH, SD, TX"
19-Jun,Monday,Emancipation Day,State holiday,Texas
,,,,
20-Jun,Tuesday,West Virginia Day,State holiday,West Virginia
20-Jun,Tuesday,American Eagle Day,Observance,
21-Jun,Wednesday,Lailat al-Qadr,Muslim,
21-Jun,Wednesday,June Solstice,Season,
,,,,
,,,,
,,,,
,,,,
26-Jun,Monday,Eid al-Fitr,Muslim,
,,,,
,,,,
,,,,
,,,,
,,,,
4-Jul,Tuesday,Independence Day,Federal Holiday,
,,,,
13-Jul,Thursday,Nathan Bedford Forrest Day,Local observance,Tennessee
14-Jul,Friday,Bastille Day,Observance,
,,,,
,,,,
23-Jul,Sunday,Parents' Day,Observance,
24-Jul,Monday,Pioneer Day,State holiday,Utah
27-Jul,Thursday,National Korean War Veterans Armistice Day,Observance,
,,,,
,,,,
,,,,
,,,,
1-Aug,Tuesday,Tisha B'Av,Jewish holiday,
1-Aug,Tuesday,Colorado Day,Local observance,Colorado
4-Aug,Friday,Coast Guard Birthday,Observance,
7-Aug,Monday,Raksha Bandhan,Hindu Holiday,
7-Aug,Monday,Purple Heart Day,Observance,
,,,,
,,,,
14-Aug,Monday,Janmashtami,Hindu Holiday,
14-Aug,Monday,Victory Day,State holiday,Rhode Island
15-Aug,Tuesday,Assumption of Mary,Christian,
16-Aug,Wednesday,Bennington Battle Day,State holiday,Vermont
18-Aug,Friday,Hawaii Statehood Day,State holiday,Hawaii
,,,,
19-Aug,Saturday,National Aviation Day,Observance,
21-Aug,Monday,Senior Citizens Day,Observance,
,,,,
24-Aug,Thursday,Ganesh Chaturthi,Hindu Holiday,
26-Aug,Saturday,Women's Equality Day,Observance,
27-Aug,Sunday,Lyndon Baines Johnson Day,State holiday,Texas
,,,,
,,,,
,,,,
,,,,
2-Sep,Saturday,Eid al-Adha,Muslim,
,,,,
4-Sep,Monday,Labor Day,Federal Holiday,
,,,,
,,,,
9-Sep,Saturday,Carl Garner Federal Lands Cleanup Day,Observance,
9-Sep,Saturday,California Admission Day,Local observance,California
,,,,
10-Sep,Sunday,National Grandparents Day,Observance,
11-Sep,Monday,Patriot Day,Observance,
,,,,
,,,,
,,,,
15-Sep,Friday,National POW/MIA Recognition Day,Observance,
,,,,
16-Sep,Saturday,National CleanUp Day,Observance,
17-Sep,Sunday,Constitution Day and Citizenship Day,Observance,
18-Sep,Monday,Air Force Birthday,Observance,
18-Sep,Monday,Constitution Day and Citizenship Day observed,Observance,
20-Sep,Wednesday,Navratri,Hindu Holiday,
,,,,
21-Sep,Thursday,Rosh Hashana,Jewish holiday,
21-Sep,Thursday,Rosh Hashana,State holiday,Texas***
22-Sep,Friday,Muharram,Muslim,
22-Sep,Friday,September Equinox,Season,
22-Sep,Friday,Emancipation Day,Local observance,Ohio
22-Sep,Friday,Native American Day,Local observance,California
,,,,
24-Sep,Sunday,Gold Star Mother's Day,Observance,
,,,,
,,,,
,,,,
,,,,
,,,,
30-Sep,Saturday,Dussehra,Hindu Holiday,
30-Sep,Saturday,Yom Kippur,State holiday,Texas***
30-Sep,Saturday,Yom Kippur,Jewish holiday,
,,,,
,,,,
,,,,
,,,,
,,,,
2-Oct,Monday,Child Health Day,Observance,
4-Oct,Wednesday,Feast of St Francis of Assisi,Christian,
5-Oct,Thursday,First Day of Sukkot,Jewish holiday,
,,,,
,,,,
8-Oct,Sunday,Chicago Marathon,Sporting event,
,,,,
9-Oct,Monday,Leif Erikson Day,Observance,
9-Oct,Monday,Columbus Day,Local observance,"Florida, Vermont"
